redTime,latitude,longitude,hacc,altitude,Avg_x,Avg_y,Avg_z,vacc,speed,course
60,51.91088059,-1.147362515,5,84.4896,-8.34292243529412e-002,-0.966513241,0.166961520333333,3,12.260000229,29.1796875
61,51.910979748,-1.147268219,5,84.4896,-0.075671626,-0.985399582784313,0.17478553922549,3,12.5,29.53125
62,51.911077397,-1.147178197,5,84.3683,-7.81070484313725e-002,-0.970548143549019,0.174091862686274,3,12.5,29.8828125
63,51.911184099,-1.147060348,5,84.5356,-8.76203050294118e-002,-0.985840741323529,0.172712587823529,3,13.300000191,31.9921875
64,51.911284472,-1.146939145,5,84.5757,-7.2417913745098e-002,-0.982362335784314,0.111176285078431,3,12.920000076,30.9375
65,51.911387527,-1.146839568,5,84.3847,-7.67623302647059e-002,-0.994013169215687,8.18248075392157e-002,3,12.5,30.5859375
66,51.911486979,-1.146742925,5,84.3065,-6.69856351666667e-002,-0.982631758166667,0.127041685803922,3,12.31000042,29.8828125
67,51.911583538,-1.146647371,5,84.3573,-8.35867488921569e-002,-0.98197488222549,0.15431467695098,3,12.31000042,30.5859375
68,51.911680182,-1.146554835,5,84.355,-7.41948146568627e-002,-0.978531482147059,0.161660886303922,3,12.359999657,31.9921875
69,51.911783153,-1.146464814,5,84.2395,-4.73294725588235e-002,-0.973247154098039,0.166334264421569,3,12.670000076,30.5859375
70,51.911898069,-1.146369847,5,84.16,-6.96036329514563e-002,-0.993822264436893,0.167862679213592,3,13.090000153,29.8828125
71,51.911998107,-1.146276053,5,84.2128,-6.23376883235294e-002,-0.978849971980392,0.163422378862745,3,12.930000305,29.8828125
72,51.912098606,-1.146173794,5,84.1384,-6.58271639803922e-002,-0.978238573205882,0.164394453470588,3,13.43999958,29.1796875
73,51.912202961,-1.146075223,5,84.1472,-5.03457761666667e-002,-0.986862631372549,0.143403445960784,3,13.529999733,29.53125
74,51.912312973,-1.145977741,5,84.0688,-6.02906170882353e-002,-0.984002954784313,0.145427479421569,3,13.590000153,29.53125
75,51.912420262,-1.145889899,5,83.9755,-6.91300934313725e-002,-0.979971343401961,0.146860608852941,3,13.619999886,29.1796875
76,51.912514893,-1.14577054,5,83.9853,-7.04448924803921e-002,-0.986049427735294,0.148056179852941,3,13.800000191,29.8828125
77,51.912619709,-1.145665012,5,83.8989,-5.71654076960784e-002,-0.979838801333334,0.14643800022549,3,13.800000191,31.640625
