latitude,longitude,speed,altitude
51.913048276,-1.14524005,13.829999924,49.7879997264
51.913142446,-1.145117506,13.850000381,49.8600013716
51.91324085,-1.144999405,13.869999886,49.9319995896
51.913335356,-1.144875102,13.680000305,49.248001098
51.913437196,-1.144754486,13.529999733,48.7079990388
51.913532205,-1.144652059,13.579999924,48.8879997264
51.913636476,-1.144546699,13.600000381,48.9600013716
51.913741417,-1.144445864,13.390000343,48.2040012348
51.913837139,-1.144337738,13.079999924,47.0879997264
51.913941535,-1.144258529,12.630000114,45.4680004104
51.914045177,-1.14418787,12.329999924,44.3879997264
51.914142869,-1.144139338,11.68999958,42.083998488
51.914245798,-1.144102123,11.600000381,41.7600013716
51.914346465,-1.144089215,11.43999958,41.183998488
51.914443024,-1.144058369,10.720000267,38.5920009612
51.914533046,-1.144014532,10.569999695,38.051998902
51.914533046,-1.144014532,10.569999695,38.051998902
51.914614895,-1.143938676,10.300000191,37.0800006876
51.914533046,-1.144014532,10.569999695,38.051998902
51.914533046,-1.144014532,10.569999695,38.051998902
51.914685848,-1.143857455,9.779999733,35.2079990388
51.914753616,-1.14378294,9.109999657,32.7959987652
51.914825994,-1.143708844,8.390000343,30.2040012348
51.914886906,-1.143651259,8.159999847,29.3759994492
51.914936797,-1.143617772,7.940000057,28.5840002052
51.915014991,-1.143556711,7.170000076,25.8120002736
51.915041866,-1.143541567,4.010000229,14.4360008244
51.915052924,-1.143534491,1.159999967,4.1759998812
51.915051838,-1.143518903,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915056496,-1.143531902,0,0
51.915077744,-1.143535338,1.019999981,3.6719999316
51.915088976,-1.143518575,2.470000029,8.8920001044
51.915099453,-1.143472474,3.720000029,13.3920001044
51.915110182,-1.14341246,4.699999809,16.9199993124
51.915108757,-1.143335095,4.889999866,17.6039995176
51.915109134,-1.14324918,6.099999905,21.959999658
51.915094382,-1.143167792,6.320000172,22.7520006192
51.915091951,-1.143080704,5.900000095,21.240000342
51.915101423,-1.142999567,5.329999924,19.1879997264
51.915124892,-1.142942319,4.460000038,16.0560001368
51.91515381,-1.142908288,3.480000019,12.5280000684
51.915182853,-1.142894207,3.170000076,11.4120002736
51.915205778,-1.142888758,1.24000001,4.464000036
51.915205778,-1.142888758,0,0
51.915205778,-1.142888758,0,0
51.915205778,-1.142888758,0,0
