timestamp,latitude,longitude,hacc,altitude,vacc,speed,course
1450096130.000066,51.915056496,-1.143531902,5,81.8644,3,0.000000000,22.148437500
1450096131.000066,51.915056496,-1.143531902,5,81.4784,3,0.000000000,22.148437500
1450096132.000067,51.915056496,-1.143531902,5,81.5517,3,0.000000000,22.148437500
1450096133.000067,51.915077744,-1.143535338,5,81.7538,3,1.019999981,22.500000000
1450096134.000065,51.915088976,-1.143518575,5,81.9756,3,2.470000029,32.343750000
1450096135.000067,51.915099453,-1.143472474,5,81.7581,3,3.720000029,57.656250000
1450096136.000067,51.915110182,-1.143412460,5,81.6994,3,4.699999809,84.726562500
1450096137.000066,51.915108757,-1.143335095,5,81.5113,3,4.889999866,88.945312500
1450096138.000066,51.915109134,-1.143249180,5,81.5113,3,6.099999905,91.054687500
1450096139.000066,51.915094382,-1.143167792,5,81.6533,3,6.320000172,88.242187500
1450096140.000066,51.915091951,-1.143080704,5,81.2459,3,5.900000095,86.132812500
1450096141.000067,51.915101423,-1.142999567,5,80.9986,3,5.329999924,76.289062500
1450096142.000066,51.915124892,-1.142942319,5,80.8221,3,4.460000038,53.085937500
1450096143.000066,51.915153810,-1.142908288,5,80.8777,3,3.480000019,25.664062500
1450096144.000067,51.915182853,-1.142894207,5,80.8743,3,3.170000076,16.171875000
1450096145.000066,51.915205778,-1.142888758,5,80.8593,3,1.240000010,15.820312500
1450096146.000066,51.915205778,-1.142888758,5,80.5918,3,0.000000000,16.171875000
1450096147.000066,51.915205778,-1.142888758,5,80.9838,3,0.000000000,16.171875000
1450096148.000066,51.915205778,-1.142888758,5,80.9143,3,0.000000000,15.820312500
