Time,SecSinceStart,redTime,latitude,longitude,speed,altitude,Avg_x,Avg_y,Avg_z
2015-12-23 00:00:26,26.4471819400787,26,51.907813023,-1.149847498,29.0879997264,29.0879997264,-1.3428332754902e-002,-0.986541897666666,0.156525705362745
2015-12-23 00:00:27,27.4471819400787,27,51.907886448,-1.14979838,30.0600013716,30.0600013716,-5.8598985872549e-002,-0.96431926654902,0.241909550705882
2015-12-23 00:00:28,28.4471819400787,28,51.907963059,-1.149747167,32.616001512,32.616001512,-8.32643695686275e-002,-0.977281607862745,0.22691405054902
2015-12-23 00:00:29,29.4471819400787,29,51.908044741,-1.149691762,35.6399986284,35.6399986284,-0.0598368925,-0.975063697960784,0.232733932156863
2015-12-23 00:00:30,30.4471828937531,30,51.908130823,-1.149627808,37.9800006876,37.9800006876,-0.119721057362745,-0.95663975732353,0.224944918764706
2015-12-23 00:00:31,31.4471819400787,31,51.908225413,-1.149563603,40.3560001368,40.3560001368,-6.65142583039216e-002,-0.979905521186275,0.200407738784314
2015-12-23 00:00:32,32.4471819400787,32,51.908319793,-1.149488669,42.3720016488,42.3720016488,-7.85103591666667e-002,-0.974128274362745,0.153615914156863
2015-12-23 00:00:33,33.4471819400787,33,51.908412119,-1.149412561,42.6600013716,42.6600013716,-4.52647489509804e-002,-0.997154086215686,0.117687000931373
2015-12-23 00:00:34,34.4471828937531,34,51.908503817,-1.149334777,41.9759994492,41.9759994492,-6.63534426470588e-002,-0.97556364767647,0.165830574784314
2015-12-23 00:00:35,35.4471819400787,35,51.908593378,-1.149263028,41.3279983512,41.3279983512,-8.11551288543689e-002,-0.978884354368932,0.166447463582524
2015-12-23 00:00:36,36.4471819400787,36,51.908684657,-1.149187759,42.1199993124,42.1199993124,-5.88280172843137e-002,-0.97957760682353,0.172726350735294
2015-12-23 00:00:37,37.4471819400787,37,51.908776397,-1.149112405,42.7319995896,42.7319995896,-6.64946612254902e-002,-0.982819351470588,0.164384430539216
2015-12-23 00:00:38,38.4471828937531,38,51.908873501,-1.149035292,43.4879997264,43.4879997264,-7.2897518382353e-002,-0.984110364745098,0.12182946295098
2015-12-23 00:00:39,39.4471819400787,39,51.908969432,-1.148962621,42.4439998632,42.4439998632,-6.79240507058824e-002,-0.99005635577451,0.113555758676471
2015-12-23 00:00:40,40.4471828937531,40,51.909062052,-1.148890201,40.6800006876,40.6800006876,-5.97190108529412e-002,-0.984046188078432,0.123019498931373
2015-12-23 00:00:41,41.4471828937531,41,51.909149936,-1.148812752,39.6,39.6,-7.21797569509804e-002,-0.982868867813726,0.135848699833333
2015-12-23 00:00:42,42.4471819400787,42,51.909239749,-1.148739327,39.383998488,39.383998488,-0.0819447835,-0.982695785235294,0.1633088355
