timestamp,x,y,z
1450096136.497883,0.093536377,-1.018646240,-0.087753296
1450096136.507682,0.178848267,-1.038360596,-0.041305542
1450096136.517475,0.154815674,-0.930847168,0.162689209
1450096136.527278,0.097976685,-1.046981812,0.211090088
1450096136.537075,-0.026214600,-0.978363037,0.028335571
1450096136.546875,-0.164947510,-0.947082520,-0.070693970
1450096136.556674,-0.252517700,-1.058898926,0.097442627
1450096136.566473,-0.240249634,-1.001632690,0.253616333
1450096136.576273,-0.129867554,-1.079086304,0.227798462
1450096136.586074,0.017501831,-0.975448608,0.017089844
1450096136.595874,0.125808716,-0.967697144,-0.003875732
1450096136.605672,0.148315430,-0.813415527,0.148162842
1450096136.615471,0.164138794,-1.068115234,0.292083740
1450096136.625267,0.062377930,-1.017440796,0.376876831
1450096136.635066,-0.058609009,-1.043945312,0.387237549
1450096136.644850,-0.139617920,-0.966903687,0.153182983
1450096136.654659,-0.168563843,-1.047088623,-0.015396118
1450096136.664459,-0.135208130,-0.982345581,0.031951904
1450096136.674258,-0.086791992,-0.991317749,0.405151367
1450096136.684055,-0.017776489,-0.958251953,0.439712524
1450096136.693851,0.047409058,-0.924316406,0.325408936
1450096136.703653,0.076904297,-1.007583618,0.101135254
1450096136.713450,0.006561279,-0.897537231,0.027191162
1450096136.723247,-0.070983887,-1.093826294,0.079544067
1450096136.733045,-0.228729248,-0.995986938,0.368041992
1450096136.742844,-0.322738647,-1.109176636,0.523666382
1450096136.752642,-0.364791870,-1.010711670,0.418655396
1450096136.762434,-0.267044067,-0.820770264,0.144866943
1450096136.772242,-0.020446777,-0.946685791,0.176544189
1450096136.782027,0.238067627,-1.076248169,0.350585938
1450096136.791839,0.306274414,-1.062423706,0.378311157
1450096136.801619,0.225097656,-0.948287964,0.396591187
1450096136.811436,-0.028518677,-0.948471069,0.367523193
1450096136.821211,-0.280868530,-1.010803223,0.282043457
1450096136.831033,-0.424041748,-0.882629395,0.229293823
1450096136.840818,-0.424728394,-0.841720581,0.308700562
1450096136.850629,-0.223266602,-0.973205566,0.483169556
1450096136.860426,0.021926880,-0.854812622,0.416244507
1450096136.870229,0.182754517,-0.931793213,0.334671021
1450096136.880004,0.203079224,-0.809646606,0.149368286
1450096136.889824,0.068801880,-1.032730103,0.263015747
1450096136.899597,-0.177627563,-0.963821411,0.392440796
1450096136.909420,-0.427017212,-1.000213623,0.569869995
1450096136.919200,-0.533142090,-0.834518433,0.456573486
1450096136.929015,-0.442413330,-0.934295654,0.259811401
1450096136.938797,-0.202774048,-0.866928101,0.174407959
1450096136.948591,0.063903809,-0.972244263,0.375411987
1450096136.958408,0.184707642,-0.817474365,0.326141357
1450096136.968206,0.172760010,-1.056427002,0.367233276
1450096136.978002,-0.024017334,-0.866088867,0.313415527
1450096136.987801,-0.258407593,-0.924957275,0.338943481
1450096136.997600,-0.443496704,-0.864654541,0.329681396
1450096137.007399,-0.465728760,-1.021347046,0.260986328
1450096137.017198,-0.326065063,-0.820495605,0.163787842
1450096137.026998,-0.025390625,-1.136688232,0.373733521
1450096137.036798,0.181228638,-0.886642456,0.385604858
1450096137.046596,0.339965820,-1.056518555,0.309768677
1450096137.056394,0.267059326,-0.884246826,0.156539917
1450096137.066191,0.042266846,-0.945190430,0.205307007
1450096137.075989,-0.257049561,-0.927612305,0.267730713
1450096137.085787,-0.452896118,-0.922378540,0.326385498
1450096137.095585,-0.489364624,-0.800582886,0.336471558
1450096137.105381,-0.315750122,-0.823043823,0.243469238
1450096137.115180,-0.009857178,-0.993606567,0.219223022
1450096137.124954,0.243469238,-0.888702393,0.201538086
1450096137.134775,0.385787964,-1.108489990,0.192413330
1450096137.144574,0.323791504,-0.940643311,0.122665405
1450096137.154369,0.097625732,-1.119934082,0.313995361
1450096137.164165,-0.203765869,-1.050704956,0.346832275
1450096137.173961,-0.434524536,-0.817306519,0.292953491
1450096137.183759,-0.449005127,-1.095520020,0.274017334
1450096137.193557,-0.269332886,-0.814086914,0.339660645
1450096137.203352,0.122955322,-1.033020020,0.268707275
1450096137.213154,0.379806519,-0.816726685,0.187805176
1450096137.222953,0.335800171,-1.093292236,0.319259644
1450096137.232751,0.222457886,-0.912094116,0.355239868
1450096137.242537,0.023864746,-1.027465820,0.416610718
1450096137.252333,-0.116561890,-0.865142822,0.216583252
1450096137.262129,-0.226562500,-1.155624390,0.082061768
1450096137.271944,-0.276718140,-0.827850342,-0.069564819
1450096137.281721,-0.196884155,-1.233322144,0.201599121
1450096137.291540,-0.165206909,-0.989303589,0.409896851
1450096137.301265,-0.107543945,-1.045486450,0.358016968
1450096137.311090,-0.106369019,-0.843368530,0.286254883
1450096137.320889,-0.027389526,-0.931884766,0.123016357
1450096137.330688,0.020675659,-0.911682129,0.183456421
1450096137.340482,0.073104858,-1.066253662,0.170532227
1450096137.350286,0.039749146,-1.077438354,0.169342041
1450096137.360059,-0.043502808,-1.067077637,0.174774170
1450096137.369880,-0.169692993,-0.932632446,0.209945679
1450096137.379655,-0.211700439,-1.019653320,0.148986816
1450096137.389477,-0.210693359,-0.991256714,0.121597290
1450096137.399256,-0.137313843,-1.031494141,0.199478149
1450096137.409071,-0.098739624,-1.025466919,0.359924316
1450096137.418854,-0.072952271,-0.869216919,0.332778931
1450096137.428655,-0.066680908,-1.007171631,0.202758789
1450096137.438470,-0.075942993,-1.055328369,0.084167480
1450096137.448267,-0.130859375,-1.097259521,0.155593872
1450096137.458066,-0.178268433,-1.106506348,0.216857910
1450096137.467865,-0.213317871,-1.130691528,0.211746216
1450096137.477663,-0.218139648,-0.961074829,0.169876099
1450096137.487463,-0.161499023,-1.062164307,0.293365479
1450096137.497262,-0.116088867,-0.774963379,0.302551270
1450096137.507061,-0.025619507,-0.960205078,0.296981812
1450096137.516859,0.016510010,-0.884582520,0.179885864
1450096137.526656,-0.012420654,-1.036254883,0.162002563
1450096137.536453,-0.130279541,-0.958435059,0.332641602
1450096137.546252,-0.224472046,-1.009613037,0.298873901
1450096137.556026,-0.294540405,-0.907409668,0.214096069
1450096137.565846,-0.248626709,-0.963180542,0.132308960
1450096137.575644,-0.162857056,-0.857757568,0.201065063
1450096137.585443,-0.005783081,-0.986740112,0.266250610
1450096137.595242,0.086563110,-0.830612183,0.201629639
1450096137.605036,0.141754150,-1.059371948,0.190826416
1450096137.614815,0.074691772,-0.919830322,0.313842773
1450096137.624612,-0.047103882,-1.034500122,0.398208618
1450096137.634432,-0.199554443,-0.924926758,0.356704712
1450096137.644230,-0.251312256,-0.896972656,0.204849243
1450096137.654027,-0.202987671,-0.862426758,0.180496216
1450096137.663828,-0.033065796,-0.860671997,0.253646851
1450096137.673625,0.122787476,-0.738525391,0.275268555
1450096137.683423,0.280746460,-0.839477539,0.232955933
1450096137.693221,0.304824829,-0.888198853,0.178710938
1450096137.703020,0.241882324,-0.915374756,0.081619263
1450096137.712816,0.068023682,-0.899002075,0.138717651
1450096137.722592,-0.125473022,-0.982818604,0.354370117
1450096137.732412,-0.260787964,-1.112747192,0.613571167
1450096137.742185,-0.269607544,-1.055450439,0.532424927
1450096137.752010,-0.176864624,-0.959854126,0.268508911
1450096137.761806,0.017929077,-0.843338013,-0.007324219
1450096137.771610,0.239028931,-1.098724365,-0.063858032
1450096137.781400,0.250656128,-1.029464722,0.211715698
1450096137.791204,0.091918945,-0.994277954,0.360290527
1450096137.801001,-0.129333496,-0.953399658,0.386627197
1450096137.810802,-0.296463013,-1.066360474,0.261642456
1450096137.820584,-0.345855713,-0.992187500,0.158187866
1450096137.830400,-0.269088745,-1.079162598,0.167205811
1450096137.840178,-0.175018311,-0.941528320,0.213607788
1450096137.850001,-0.070617676,-1.137908936,0.335525513
1450096137.859792,-0.056335449,-0.896514893,0.363372803
1450096137.869600,-0.039413452,-0.814041138,0.246871948
1450096137.879383,-0.019546509,-0.671844482,0.098464966
1450096137.889199,0.083221436,-1.003570557,0.168487549
1450096137.898982,0.130950928,-1.088439941,0.306594849
1450096137.908783,0.071395874,-0.945358276,0.430557251
1450096137.918596,0.028549194,-1.068969727,0.359588623
1450096137.928367,-0.073135376,-0.903671265,0.197113037
1450096137.938194,-0.159454346,-0.852188110,0.133972168
1450096137.947993,-0.206848145,-0.833648682,0.168945312
1450096137.957792,-0.181015015,-0.871994019,0.192428589
1450096137.967591,-0.131149292,-0.972106934,0.331527710
1450096137.977391,-0.055404663,-1.005096436,0.255142212
1450096137.987188,-0.014404297,-1.078750610,0.075073242
1450096137.996987,-0.038574219,-1.031707764,0.017684937
1450096138.006784,-0.119094849,-1.181167603,0.222625732
1450096138.016585,-0.241668701,-1.080001831,0.422851562
1450096138.026384,-0.321105957,-0.858749390,0.327178955
1450096138.036183,-0.309585571,-0.815460205,0.152404785
1450096138.045984,-0.168914795,-0.891815186,0.011947632
1450096138.055784,-0.042190552,-0.989807129,0.145294189
1450096138.065582,0.003448486,-1.167083740,0.241271973
1450096138.075379,-0.065460205,-1.080200195,0.129013062
1450096138.085174,-0.181076050,-0.984970093,-0.030380249
1450096138.094977,-0.252197266,-1.045211792,0.086181641
1450096138.104774,-0.233139038,-0.997253418,0.309677124
1450096138.114576,-0.098327637,-1.011611938,0.262985229
1450096138.124372,0.043182373,-0.887939453,0.093978882
1450096138.134171,0.155242920,-0.978530884,0.006683350
1450096138.143971,0.173782349,-1.117446899,0.136215210
1450096138.153769,0.070755005,-1.133422852,0.202636719
1450096138.163541,-0.087921143,-1.120208740,0.175140381
1450096138.173367,-0.233505249,-1.040451050,0.098617554
1450096138.183165,-0.269149780,-1.068908691,0.196014404
1450096138.192964,-0.206665039,-1.053115845,0.359924316
1450096138.202757,-0.074844360,-1.021301270,0.259078979
1450096138.212543,0.054092407,-0.943618774,0.085769653
1450096138.222347,0.150787354,-1.027923584,-0.019577026
1450096138.232157,0.150634766,-1.120895386,0.172485352
1450096138.241955,0.002471924,-1.043930054,0.282653809
1450096138.251755,-0.205566406,-1.004928589,0.255966187
1450096138.261533,-0.333068848,-1.038330078,0.173538208
1450096138.271352,-0.293441772,-1.114166260,0.213989258
1450096138.281125,-0.123367310,-0.810852051,0.289901733
1450096138.290951,0.195938110,-0.932113647,0.202316284
1450096138.300735,0.483337402,-0.960876465,0.019973755
1450096138.310549,0.476242065,-0.956451416,0.105468750
1450096138.320325,0.457580566,-0.951324463,0.163604736
1450096138.330147,0.309555054,-1.033905029,0.219314575
1450096138.339918,0.065307617,-1.005584717,0.204238892
1450096138.349741,-0.066238403,-0.942993164,0.172668457
1450096138.359519,-0.183898926,-0.977737427,0.204193115
1450096138.369338,-0.273330688,-0.838638306,0.195327759
1450096138.379118,-0.194595337,-0.949371338,0.220977783
1450096138.388932,-0.044342041,-0.839157104,0.188400269
1450096138.398736,0.088088989,-0.849304199,0.193359375
1450096138.408535,0.110809326,-0.841445923,0.275436401
1450096138.418334,0.046203613,-0.968246460,0.311187744
1450096138.428133,-0.125137329,-0.845382690,0.213699341
1450096138.437932,-0.291336060,-0.868194580,0.150268555
1450096138.447731,-0.361160278,-0.764862061,0.099838257
1450096138.457529,-0.286590576,-0.976501465,0.121963501
1450096138.467328,-0.221328735,-0.845230103,0.239303589
1450096138.477126,-0.118499756,-1.084274292,0.231460571
1450096138.486923,-0.075332642,-0.986953735,0.132781982
1450096138.496721,-0.040924072,-1.056961060,0.224151611
1450096138.506521,-0.060668945,-1.079162598,0.379196167
1450096138.516310,-0.084671021,-1.061630249,0.308685303
1450096138.526114,-0.135238647,-0.985885620,0.073715210
1450096138.535912,-0.165939331,-1.066635132,-0.027786255
1450096138.545710,-0.165557861,-1.078659058,0.116851807
1450096138.555509,-0.167114258,-0.996673584,0.324996948
1450096138.565305,-0.116333008,-1.066726685,0.274246216
1450096138.575102,-0.084838867,-0.998794556,0.115112305
1450096138.584900,-0.087905884,-0.938339233,0.035324097
1450096138.594697,-0.114440918,-0.978637695,0.144210815
1450096138.604496,-0.140930176,-0.958145142,0.196929932
1450096138.614295,-0.154815674,-0.996963501,0.174850464
1450096138.624093,-0.160629272,-1.080795288,0.142120361
1450096138.633891,-0.137298584,-1.030548096,0.087387085
1450096138.643687,-0.096908569,-1.050628662,0.181472778
1450096138.653486,-0.016693115,-1.036788940,0.159469604
1450096138.663281,0.063751221,-0.983810425,0.134658813
1450096138.673080,0.144073486,-1.112335205,0.062881470
1450096138.682858,0.175323486,-1.122619629,0.141052246
1450096138.692668,0.155563354,-1.056900024,0.056823730
1450096138.702451,0.114089966,-1.046096802,-0.006805420
1450096138.712268,0.098022461,-1.058761597,0.146942139
1450096138.722043,0.134552002,-1.064605713,0.312316895
1450096138.731859,0.150970459,-0.793075562,0.278839111
1450096138.741636,0.254974365,-0.954071045,0.087585449
1450096138.751451,0.270507812,-0.897857666,-0.047302246
1450096138.761228,0.281875610,-1.134613037,0.009719849
1450096138.771049,0.158370972,-0.927688599,0.233291626
1450096138.780820,0.058868408,-1.001098633,0.250732422
1450096138.790641,-0.050201416,-0.951263428,0.061889648
1450096138.800416,-0.095291138,-0.884231567,-0.092254639
1450096138.810236,-0.106079102,-0.833541870,-0.014175415
1450096138.820022,-0.042190552,-0.950637817,0.185623169
1450096138.829831,0.028823853,-0.928833008,0.226394653
1450096138.839611,0.079406738,-0.892410278,0.126159668
1450096138.849426,0.088500977,-0.946624756,0.003753662
1450096138.859203,0.045578003,-1.043548584,-0.073852539
1450096138.869015,-0.079376221,-1.018966675,-0.000030518
1450096138.878816,-0.196350098,-0.965087891,0.163818359
1450096138.888612,-0.296234131,-0.991500854,0.345504761
1450096138.898409,-0.306503296,-1.004837036,0.147537231
1450096138.908205,-0.262680054,-0.985504150,-0.054168701
1450096138.918005,-0.187347412,-0.968261719,-0.115417480
1450096138.927802,-0.134307861,-1.111343384,0.167556763
1450096138.937600,-0.167785645,-1.187866211,0.356399536
1450096138.947386,-0.256805420,-1.066741943,0.285614014
1450096138.957193,-0.344268799,-0.856216431,0.117584229
1450096138.966989,-0.302047729,-0.986068726,-0.124893188
1450096138.976787,-0.140747070,-1.147827148,-0.111755371
1450096138.986587,-0.028839111,-1.152801514,0.128997803
1450096138.996381,-0.009429932,-1.079483032,0.247207642
1450096139.006176,-0.101165771,-0.923126221,0.192718506
1450096139.015972,-0.250137329,-0.876068115,0.011932373
1450096139.025769,-0.368759155,-0.818649292,0.022933960
1450096139.035565,-0.335937500,-1.038208008,0.150955200
1450096139.045362,-0.239929199,-1.036865234,0.269821167
1450096139.055160,-0.068618774,-1.212158203,0.191604614
1450096139.064955,0.032669067,-1.002624512,0.048843384
1450096139.074742,0.078018188,-1.093536377,-0.001693726
1450096139.084547,0.004455566,-0.925216675,0.056945801
